title,date,source,location,article_count,focus_count
你俩打得都不好！半场小波特4中0仅得1分&穆雷6中1拿5分,2025-05-12 05:00:27　,直播吧,福建,1149286,689556
急先锋真不错！布劳恩半场各种冲击 5中2&8罚7中拿11分2板2断,2025-05-12 05:00:27　,直播吧,福建,1149286,689556
贝蒂斯1-1奥萨苏纳，库乔-埃尔南德斯破门，布季米尔扳平,2025-05-12 05:00:14　,懂球帝,北京,259341,29410
罗马诺：阿森纳125万镑报价切尔西16岁门将贝尔纳尔被拒,2025-05-12 05:00:15　,懂球帝,北京,259341,29410
今天打不开手感！威少半场8中1&三分5中1仅拿3分3篮板,2025-05-12 04:58:17　,直播吧,福建,1149286,689556
球市火爆，52839名观众现场观看贝蒂斯主场对阵奥萨苏纳,2025-05-12 04:49:51　,直播吧,福建,1149286,689556
那不勒斯2-2热那亚，卢卡库、拉斯帕多里破门，巴斯克斯扳平,2025-05-12 04:49:17　,懂球帝,北京,259341,29410
加克波在安菲尔德连续10次首发都有进球，比肩萨拉赫,2025-05-12 04:49:17　,懂球帝,北京,259341,29410
8场8球，热那亚是卢卡库在意甲进球最多的球队,2025-05-12 04:38:11　,懂球帝,北京,259341,29410
泽林斯基：我们能做到先不考虑欧冠决赛，并专注于意甲,2025-05-12 04:38:11　,懂球帝,北京,259341,29410
双杀，西汉姆联时隔18年再度在英超客场击败曼联,2025-05-12 04:38:11　,懂球帝,北京,259341,29410
记者：阿隆索将带自己的体能训练师去皇马，平图斯可能去青年队,2025-05-12 04:38:09　,直播吧,福建,1149286,689556
费尔明：欧冠出局确实是一次沉重的打击，现在我们专注于联赛,2025-05-12 04:28:08　,直播吧,福建,1149286,689556
抽象！雷霆&掘金首节得分合计历史新低 雷霆22中6&掘金22中2,2025-05-12 04:17:22　,直播吧,福建,1149286,689556
实至名归，恩里克当选本赛季法甲联赛最佳教练,2025-05-12 04:16:09　,直播吧,福建,1149286,689556
沙特联-吉达联合3-0费哈先赛9分领跑 本泽马双响+伤退坎特中柱,2025-05-12 04:06:21　,直播吧,福建,1149286,689556
